etf_code,verified_full_name,provider_tracking_target,market,product_type,basis,comparable_price_context,return_5d_pct,return_20d_pct,return_60d_pct,gap_ma20_pct,disposition,disposition_reason,verified_linked_funds,linked_product_review
sh512220,景顺长城中证科技传媒通信150交易型开放式指数证券投资基金,中证科技传媒通信150指数,A股,ETF,day,True,-4.818963271685339,-7.258883248730963,-10.856306416199079,-5.270526015606758,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh510050,上证50交易型开放式指数证券投资基金,上证50指数,A股,ETF,qfqday,True,0.0,-0.9458577951728664,3.7226775956284097,0.34030462219580837,中性观察,短中期信号分歧,本轮未深核,仅完成场内方向比较
sh510170,上证大宗商品股票交易型开放式指数证券投资基金,上证商品,A股,ETF,qfqday,True,-3.245856353591159,0.0,1.3015184381778733,-0.3308078113328339,中性观察,短中期信号分歧,本轮未深核,仅完成场内方向比较
sh510150,上证消费80交易型开放式指数证券投资基金,消费80,A股,ETF,qfqday,True,-0.39920159680638667,-2.1568627450980427,8.008658008658,-1.246784088660191,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh510880,上证红利交易型开放式指数证券投资基金,上证红利指数,A股,ETF,qfqday,True,-0.6645478185495435,4.753199268738584,5.460122699386516,1.4907749077490928,回落观察,20日有涨幅，但最近5日未延续,本轮未深核,仅完成场内方向比较
sh515220,国泰中证煤炭交易型开放式指数证券投资基金,中证煤炭指数,A股,ETF,qfqday,True,-3.8518518518518507,5.186385737439236,-0.9160305343511421,0.448846927720159,回落观察,20日有涨幅，但最近5日未延续,008280,已核NAV/费用/身份
sh510230,上证180金融交易型开放式指数证券投资基金,上证180金融股指数,A股,ETF,qfqday,True,3.325774754346189,5.0730207532667215,6.63026521060841,3.7334952193049054,相对领先,5日和20日均上涨，价格在20日均线上方；不等于无条件买入,本轮未深核,仅完成场内方向比较
sh510660,上证医药卫生交易型开放式指数发起式证券投资基金,上证医药卫生行业指数,A股,ETF,day,True,-1.6386890487609884,-5.163776493256278,15.975494816211121,-3.5072242153345368,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh512660,国泰中证军工交易型开放式指数证券投资基金,中证军工指数,A股,ETF,day,True,2.2261798753339113,-0.5199306759098743,-5.824446267432338,1.270289343683828,短期回暖,5日改善，但20日趋势尚未转正,本轮未深核,仅完成场内方向比较
sh512400,南方中证申万有色金属交易型开放式指数证券投资基金,有色金属,A股,ETF,qfqday,True,-4.944500504540872,-5.088161209068021,0.21276595744681437,-2.188303091659549,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh517380,天弘恒生沪深港创新药精选50交易型开放式指数证券投资基金,恒生沪深港创新药精选50指数,沪深港跨市场,ETF,day,True,-2.2727272727272707,-1.1494252873563204,34.165366614664585,-2.167112223423018,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh512200,南方中证全指房地产交易型开放式指数证券投资基金,中证全指房地产指数,A股,ETF,qfqday,True,-0.5640612409347434,2.2369511184755497,-2.0634920634920673,0.8128752910420145,回落观察,20日有涨幅，但最近5日未延续,本轮未深核,仅完成场内方向比较
sh515700,平安中证新能源汽车产业交易型开放式指数证券投资基金,中证新能源汽车产业指数,A股,ETF,day,True,-4.894784995425427,-6.30914826498421,-15.246636771300437,-4.838192886895209,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh512480,国联安中证全指半导体产品与设备交易型开放式指数证券投资基金,中证全指半导体产品与设备指数,A股,ETF,qfqday,True,-6.063522617901828,-9.879963065558627,-8.356807511737085,-6.99890418790795,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,"007301,007300",已核NAV/费用/身份
sh515000,华宝中证科技龙头交易型开放式指数证券投资基金,中证科技龙头指数,A股,ETF,qfqday,True,-5.238467552775605,-8.734939759036154,-9.955423476968805,-5.7102847362688784,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh512720,国泰中证计算机主题交易型开放式指数证券投资基金,中证计算机主题指数,A股,ETF,qfqday,True,-1.0238907849829393,-6.148867313915862,3.2947462154942153,-2.3404613571308186,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,010210,已核NAV/费用/身份
sh510300,华泰柏瑞沪深300交易型开放式指数证券投资基金,沪深300指数,A股,ETF,qfqday,True,-1.3464415473391833,-2.8415070511471407,-2.8415070511471407,-1.5316353086735846,仍在走弱,5日和20日均下跌；需独立修复证据，不能只因跌多买入,本轮未深核,仅完成场内方向比较
sh517520,永赢中证沪深港黄金产业股票交易型开放式指数证券投资基金,中证沪深港黄金产业股票指数,沪深港跨市场,ETF,day,True,-3.4120734908136385,4.545454545454541,30.03533568904595,2.1678273141614524,回落观察,20日有涨幅，但最近5日未延续,本轮未深核,仅完成场内方向比较
sh510630,上证主要消费交易型开放式指数发起式证券投资基金,上证主要消费行业指数,A股,ETF,qfqday,True,1.097560975609757,0.7290400972053579,4.5397225725094525,0.974421437271622,相对领先,5日和20日均上涨，价格在20日均线上方；不等于无条件买入,本轮未深核,仅完成场内方向比较
