code,name,etf,mapping,nav_date,nav_status,nav,nav_change_1d,nav_growth_5d,nav_growth_20d,daily_volatility_20d_pct,daily_volatility_60d_pct,share_class_scale_yi,scale_date,service_fee,redemption,open_status,source
007467,华泰柏瑞中证红利低波ETF联接C,sh512890,同管理人、同跟踪指数、联接名称核验；平台证据,2026-09-08,current,1.6158,0.89,-0.24016842785993253,3.3770181246256747,0.6161390820432125,0.9463544533695762,54.68,2026-06-30,0.25%（每年）,小于7天 1.50%；大于等于7天，小于30天 0.10%；大于等于30天 0.00%,申购状态 开放申购 赎回状态 开放赎回 定投状态 支持；普通回活期宝 支持 极速回活期宝 支持 超级转换 支持,https://fundf10.eastmoney.com/jjfl_007467.html
007606,嘉实沪深300红利低波动ETF联接C,sh515300,同管理人、同跟踪指数、联接名称核验；平台证据,2026-09-08,current,1.2577,0.11,-0.514314845141961,1.6393691219781958,0.5919201582005892,0.915247242074126,7.42,2026-06-30,0.40%（每年）,小于7天 1.50%；大于等于7天 0.00%,申购状态 开放申购 赎回状态 开放赎回 定投状态 支持；普通回活期宝 支持 极速回活期宝 支持 超级转换 支持,https://fundf10.eastmoney.com/jjfl_007606.html
005999,嘉实中证金融地产ETF联接C,sh512640,同管理人、同跟踪指数、联接名称核验；平台证据,2026-09-08,current,1.3919,-0.06,-1.2507546830977434,2.7500635650121064,0.7626496401914908,1.1559608594042345,0.06,2026-06-30,0.40%（每年）,小于7天 1.50%；大于等于7天 0.00%,申购状态 开放申购 赎回状态 开放赎回 定投状态 支持；普通回活期宝 支持 极速回活期宝 支持 超级转换 支持,https://fundf10.eastmoney.com/jjfl_005999.html
009180,嘉实中证主要消费ETF发起联接C,sh512600,同管理人、同跟踪指数、联接名称核验；平台证据,2026-09-08,current,0.8691,-0.01,1.1120548580165757,0.27543223534560735,0.9471041736733472,1.3257490261078786,4.28,2026-06-30,0.20%（每年）,小于7天 1.50%；大于等于7天 0.00%,申购状态 开放申购 赎回状态 开放赎回 定投状态 支持；普通回活期宝 支持 极速回活期宝 支持 超级转换 支持,https://fundf10.eastmoney.com/jjfl_009180.html
008976,富国中证消费50ETF联接C,sh515650,同管理人、同跟踪指数、联接名称核验；平台证据,2026-09-08,current,1.1303,-0.59,-0.06137069356004776,-0.3071308465113387,0.7790606692137586,1.1886623541150765,3.18,2026-06-30,0.40%（每年）,小于7天 1.50%；大于等于7天，小于30天 0.50%；大于等于30天 0.00%,申购状态 开放申购 赎回状态 开放赎回 定投状态 支持；普通回活期宝 支持 极速回活期宝 支持 超级转换 支持,https://fundf10.eastmoney.com/jjfl_008976.html
007816,嘉实新兴科技100ETF联接C,sh515860,同管理人、同跟踪指数、联接名称核验；平台证据,2026-09-08,current,1.8959,-0.85,-0.7915450291298365,-1.3510590304566472,1.644366779420929,2.2731976221566246,0.56,2026-06-30,0.20%（每年）,小于7天 1.50%；大于等于7天 0.00%,申购状态 开放申购 赎回状态 开放赎回 定投状态 支持；普通回活期宝 支持 极速回活期宝 支持 超级转换 支持,https://fundf10.eastmoney.com/jjfl_007816.html
007301,国联安中证半导体ETF联接C,sh512480,同管理人、同跟踪指数、联接名称核验；平台证据,2026-09-08,current,3.7606,-1.38,-3.787333849857488,-7.102331214505009,2.7273345383745147,4.009355848765971,29.07,2026-06-30,0.25%（每年）,小于7天 1.50%；大于等于7天 0.00%,申购状态 开放申购 赎回状态 开放赎回 定投状态 支持；普通回活期宝 支持 极速回活期宝 支持 超级转换 支持,https://fundf10.eastmoney.com/jjfl_007301.html
007300,国联安中证半导体ETF联接A,sh512480,同管理人、同跟踪指数、联接名称核验；平台证据,2026-09-08,current,3.8382,-1.38,-3.7779655279343904,-7.084146712515793,2.7283056241827763,4.009391503207026,20.07,2026-06-30,0.00%（每年）,小于7天 1.50%；大于等于7天，小于365天 0.50%；大于等于365天 0.00%,申购状态 开放申购 赎回状态 开放赎回 定投状态 支持；普通回活期宝 支持 极速回活期宝 支持 超级转换 支持,https://fundf10.eastmoney.com/jjfl_007300.html
010210,国泰中证计算机主题ETF联接C,sh512720,同管理人、同跟踪指数、联接名称核验；平台证据,2026-09-08,current,0.8342,-1.46,-4.105573302894205,-6.144802143461958,1.7408364595640133,2.321982270963038,0.51,2026-06-30,0.30%（每年）,小于7天 1.50%；大于等于7天，小于30天 0.10%；大于等于30天 0.00%,申购状态 开放申购 赎回状态 开放赎回 定投状态 支持；普通回活期宝 支持 极速回活期宝 支持 超级转换 支持,https://fundf10.eastmoney.com/jjfl_010210.html
007818,国泰中证全指通信设备ETF联接C,sh515880,同管理人、同跟踪指数、联接名称核验；平台证据,2026-09-08,current,3.7334,-0.65,1.303448780415617,3.989525092384083,3.036788469835579,3.9310322820170134,50.65,2026-06-30,0.30%（每年）,小于7天 1.50%；大于等于7天，小于30天 0.10%；大于等于30天 0.00%,申购状态 开放申购 赎回状态 开放赎回 定投状态 支持；普通回活期宝 支持 极速回活期宝 支持 超级转换 支持,https://fundf10.eastmoney.com/jjfl_007818.html
